creditcardID,cardNumber,cvc,expirationDate
269,4983716774339,234,2029-03-02
270,4547829955494183478,796,2029-03-02
271,3592597084885204,723,2029-03-02
272,4841377500759,913,2029-03-02
273,3547787647837455,394,2029-03-02
274,676214355767,780,2029-03-02
275,4198482474366,11,2029-03-02
276,2345973232750248,716,2029-03-02
277,4435503431943455,43,2029-03-02
278,4009473509250009,532,2029-03-02
279,571036455467,160,2029-03-02
280,213162871554771,743,2029-03-02
281,30413466601944,404,2029-03-02
282,3525230059232036,307,2029-03-02
283,180050375886220,141,2029-03-02
284,3508247022994055,758,2029-03-02
285,4035197433706947,282,2029-03-02
286,6502924256692964,589,2029-03-02
287,675992389469,999,2029-03-02
288,375310383563343,495,2029-03-02
289,3542003942519706,348,2029-03-02
290,180055860102561,549,2029-03-02
291,3588660306385159,159,2029-03-02
292,3595039640488444,164,2029-03-02
293,6011141729466629,468,2029-03-02
294,4645437050095949,68,2029-03-02
295,6011262617936075,574,2029-03-02
296,4096729970422412575,522,2029-03-02
297,30373760971510,140,2029-03-02
298,676224432200,282,2029-03-02
299,377784788817702,183,2029-03-02
300,4995802610273839,79,2029-03-02
301,377490377208226,808,2029-03-02
302,347105939754734,528,2029-03-02
303,579060359547,635,2029-03-02
304,370428021076356,3981,2029-03-02
305,346815167934367,927,2029-03-02
306,4085654140168810,694,2029-03-02
307,213161593698080,467,2029-03-02
308,4862588457464,520,2029-03-02
309,4343173255424760925,93,2029-03-02
310,30183229739550,1630,2029-03-02
311,5493436445565418,187,2029-03-02
312,6504235095823993,16,2029-03-02
313,3558965439949557,599,2029-03-02
314,3546466722927611,148,2029-03-02
315,3576168257712516,5954,2029-03-02
316,630486175809,847,2029-03-02
317,2281519085793987,557,2029-03-02
318,2426767912362684,136,2029-03-02
319,4232280273010082,96,2029-03-02
320,38037958999334,332,2029-03-02
321,4262765360755980,944,2029-03-02
322,342347797398015,157,2029-03-02
323,4485714898983368,310,2029-03-02
324,3517539025792216,467,2029-03-02
325,6512855100302525,639,2029-03-02
326,572749394670,705,2029-03-02
327,3522368411563087,475,2029-03-02
328,30537409781544,593,2029-03-02
329,213111661714012,956,2029-03-02
330,30433378067026,302,2029-03-02
331,4386019470243680,108,2029-03-02
332,2720348244765044,530,2029-03-02
333,586742151168,524,2029-03-02
334,4161982727974350,793,2029-03-02
335,4900509067323414898,203,2029-03-02
336,30434550922277,440,2029-03-02
337,4933447589015186,621,2029-03-02
338,6011724285175898,5307,2029-03-02
339,4369591231126,506,2029-03-02
340,4516808622322177276,688,2029-03-02
341,2709803102957385,530,2029-03-02
342,180064222442822,473,2029-03-02
343,4451702500086241,858,2029-03-02
344,3545275184477580,463,2029-03-02
345,4281518641611192,53,2029-03-02
346,4865161948922176968,823,2029-03-02
347,3576852623470541,307,2029-03-02
348,5402683467256802,724,2029-03-02
349,4282382505352,251,2029-03-02
350,676149020148,93,2029-03-02
351,5261655614064065,244,2029-03-02
352,573645577202,825,2029-03-02
353,4719193147591967,694,2029-03-02
354,3514792472614531,148,2029-03-02
355,371029568981609,628,2029-03-02
356,503859786066,897,2029-03-02
357,6573002346806003,941,2029-03-02
358,6011219651088643,980,2029-03-02
359,4391735941348773,695,2029-03-02
360,38560720982288,577,2029-03-02
361,3571173943383271,561,2029-03-02
362,3559368739008381,713,2029-03-02
363,371319351760975,173,2029-03-02
364,3518892588909597,692,2029-03-02
365,3595901453723441,365,2029-03-02
366,4784580910143426420,69,2029-03-02
367,180010881422936,552,2029-03-02
368,4402079329059777394,213,2029-03-02
369,213161878616070,848,2029-03-02
370,4191356091420486,749,2029-03-02
371,2688518950944328,841,2029-03-02
372,5401936613429207,66,2029-03-02
373,6501352679174819,928,2029-03-02
374,4617023304388233,414,2029-03-02
375,2720632359179608,575,2029-03-02
376,2298233648294050,755,2029-03-02
377,5344580465411986,732,2029-03-02
378,180056772369397,548,2029-03-02
379,371549818413897,809,2029-03-02
380,4763493852164678,234,2029-03-02
381,213175987156190,974,2029-03-02
382,4573372242503520249,2079,2029-03-02
383,3583778836578062,830,2029-03-02
384,3532427322286267,984,2029-03-02
385,180037298040910,889,2029-03-02
386,6575471656656597,519,2029-03-02
387,4279811766560730,245,2029-03-02
388,4287592754933333,8452,2029-03-02
389,4679048885256660,413,2029-03-02
390,3512579224181006,455,2029-03-02
391,3568174399830216,999,2029-03-02
392,4507706137509677,251,2029-03-02
393,5366375123730023,514,2029-03-02
394,4719010760503392928,801,2029-03-02
395,3517926368348393,569,2029-03-02
396,4841590795426290,695,2029-03-02
397,4349093834973,851,2029-03-02
398,676267581368,948,2029-03-02
399,676263005701,668,2029-03-02
400,3560213669138062,563,2029-03-02
401,4832671978936072,4645,2029-03-02
402,6594346933009074,263,2029-03-02
403,4899016143491449,917,2029-03-02
404,060478454113,542,2029-03-02
405,4433359956411404774,101,2029-03-02
406,36338836323230,112,2029-03-02
407,377742051103697,264,2029-03-02
408,4005208514732,586,2029-03-02
409,213117971286195,557,2029-03-02
410,4322463835869358,978,2029-03-02
411,371727482404075,916,2029-03-02
412,5168196943698632,624,2029-03-02
413,3534552103536305,109,2029-03-02
414,568380692604,114,2029-03-02
415,588093177123,180,2029-03-02
416,3552854963441551,784,2029-03-02
417,4631206917884308,270,2029-03-02
418,3564655243529123,902,2029-03-02
419,4768332833060313021,515,2029-03-02
420,4213686135739345825,201,2029-03-02
421,3586649326777240,985,2029-03-02
422,6503841911046148,918,2029-03-02
423,4057156553365028,555,2029-03-02
424,3553516803883115,466,2029-03-02
425,6517131756377194,639,2029-03-02
426,4888309183436,348,2029-03-02
427,675926879668,206,2029-03-02
428,30216142491915,670,2029-03-02
429,346296549133244,350,2029-03-02
430,30138726094958,583,2029-03-02
431,4461742800279425,146,2029-03-02
432,3502563045449364,432,2029-03-02
433,4655803195038,156,2029-03-02
434,4477532133226,803,2029-03-02
435,213177075322361,20,2029-03-02
436,3547813080690571,391,2029-03-02
437,6585615322006177,273,2029-03-02
438,4820861439658,380,2029-03-02
439,4250744498418,693,2029-03-02
440,377644567394879,810,2029-03-02
441,30297493527960,881,2029-03-02
442,4133787821409,524,2029-03-02
443,6011714299561001,21,2029-03-02
444,38166902984132,834,2029-03-02
445,4893720711087998758,348,2029-03-02
446,4892412131851382631,362,2029-03-02
447,3575795044684250,575,2029-03-02
448,180098485801290,337,2029-03-02
449,2565889372420702,423,2029-03-02
450,4661078116339956902,564,2029-03-02
451,6011217625055136,846,2029-03-02
452,213120163485179,330,2029-03-02
453,675916571077,728,2029-03-02
454,6011030352839519,985,2029-03-02
455,341326462883619,76,2029-03-02
456,676262616094,921,2029-03-02
457,3587020924509550,740,2029-03-02
458,3547362172539312,247,2029-03-02
459,213110210992285,826,2029-03-02
460,2659525404774297,497,2029-03-02
461,4227467700716715,437,2029-03-02
462,3502173844103012,222,2029-03-02
463,4767035101179,84,2029-03-02
464,30155333374243,271,2029-03-02
465,180053094007045,848,2029-03-02
466,6011175061655662,282,2029-03-02
467,213112786565966,464,2029-03-02
468,4565330603752063644,456,2029-03-02
469,346717473894766,467,2029-03-02
470,3566892308535624,957,2029-03-02
471,2395745213853954,378,2029-03-02
472,30220836809903,325,2029-03-02
473,6518787013041722,859,2029-03-02
474,639096634881,961,2029-03-02
475,343879199538763,795,2029-03-02
476,4462878705817684,70,2029-03-02
477,4793324594586130,916,2029-03-02
478,4326490288347497,1,2029-03-02
479,4947555874586534120,944,2029-03-02
480,180044417097425,405,2029-03-02
481,060428784171,875,2029-03-02
482,213169157471141,724,2029-03-02
483,341040814936633,432,2029-03-02
484,3545340617257833,46,2029-03-02
485,6011105331242165,319,2029-03-02
486,4044848308656786,616,2029-03-02
487,6562732551437135,664,2029-03-02
488,4951628183113,420,2029-03-02
489,2232300038119335,3524,2029-03-02
490,180042554051478,896,2029-03-02
491,4389498866169336,794,2029-03-02
492,4630821600854320656,485,2029-03-02
493,6545556402366124,134,2029-03-02
494,346029301859437,449,2029-03-02
495,5231029702680793,619,2029-03-02
496,4295291163774673,332,2029-03-02
497,4113816662437156,938,2029-03-02
498,2236281271235986,6924,2029-03-02
499,4905020367834443,609,2029-03-02
500,375268032540197,72,2029-03-02
